Time       resetn     din_en     din        shift_in   dout      
------------------------------------------------------------
5000       0          0          1010       xxxx       x         
15000      1          0          1010       0          0         
25000      1          1          1010       0          0         
35000      1          0          1010       1010       0         
45000      1          0          1010       101        1         
55000      1          0          1010       10         0         
65000      1          0          1010       1          1         
75000      0          0          1010       0          0         
85000      1          0          1010       0          0         
95000      1          1          1100       0          0         
105000     1          0          1100       1100       0         
115000     1          0          1100       110        0         
125000     1          0          1100       11         1         
